Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Torque_x_Toolwear,Temp_difference
2,302.0,310.9,1456,47.2,54,2548.8,8.899999999999977
2,297.0,308.3,1399,46.4,132,6124.8,11.300000000000011
2,301.0,311.6,1357,45.6,137,6247.2,10.600000000000023
1,298.9,309.8,1411,56.3,84,4729.2,10.900000000000034
1,297.1,308.5,1733,28.7,50,1435.0,11.399999999999977
0,298.3,308.9,1706,31.8,8,254.4,10.599999999999966
2,300.7,311.0,1263,52.3,104,5439.2,10.300000000000011
0,297.6,309.0,1413,40.2,51,2050.2000000000003,11.399999999999977
2,303.9,313.2,1608,40.6,79,3207.4,9.300000000000011
0,297.3,308.6,1431,42.0,109,4578.0,11.300000000000011
1,298.9,310.1,1466,42.5,187,7947.5,11.200000000000045
1,297.9,308.6,1691,29.6,116,3433.6000000000004,10.700000000000045
1,299.2,310.7,1540,36.3,175,6352.499999999999,11.5
1,298.4,308.4,1515,40.1,179,7177.900000000001,10.0
2,300.4,309.8,1421,47.2,0,0.0,9.400000000000034
1,298.7,309.9,1617,33.0,203,6699.0,11.199999999999989
1,297.7,308.7,1249,60.4,143,8637.199999999999,11.0
1,298.9,310.0,1564,33.8,183,6185.4,11.100000000000023
1,298.1,308.7,1568,32.9,10,329.0,10.599999999999966
1,304.1,313.2,1434,50.1,43,2154.3,9.099999999999966
1,302.5,311.1,1571,34.2,201,6874.200000000001,8.600000000000023
0,299.2,308.8,1908,21.3,104,2215.2000000000003,9.600000000000023
1,299.6,310.2,1468,48.0,9,432.0,10.599999999999966
0,301.0,312.2,1489,40.3,117,4715.099999999999,11.199999999999989
1,299.1,310.5,1389,61.4,64,3929.6,11.399999999999977
1,302.4,310.2,1351,45.1,168,7576.8,7.800000000000011
1,299.1,310.5,1532,36.6,62,2269.2000000000003,11.399999999999977
1,300.6,309.6,1726,30.0,147,4410.0,9.0
1,301.7,311.2,1589,37.9,75,2842.5,9.5
1,296.8,307.5,1347,54.8,43,2356.4,10.699999999999989
1,300.7,311.8,1486,47.3,19,898.6999999999999,11.100000000000023
1,299.6,311.0,1430,38.3,124,4749.2,11.399999999999977
1,297.1,308.3,1403,54.1,179,9683.9,11.199999999999989
1,300.7,310.6,1520,45.9,146,6701.4,9.900000000000034
2,298.9,308.2,1372,63.6,30,1908.0,9.300000000000011
1,298.7,309.8,1354,53.3,212,11299.599999999999,11.100000000000023
1,299.7,309.1,1347,55.3,139,7686.7,9.400000000000034
1,300.7,309.5,1508,39.9,59,2354.1,8.800000000000011
2,303.0,312.8,1648,32.1,104,3338.4,9.800000000000011
2,300.4,311.7,1832,24.2,179,4331.8,11.300000000000011
2,302.0,311.1,1406,48.8,159,7759.2,9.100000000000023
1,298.3,308.1,1326,58.4,90,5256.0,9.800000000000011
1,298.9,310.3,1456,44.1,118,5203.8,11.400000000000034
1,298.0,308.5,1702,26.7,203,5420.099999999999,10.5
1,302.6,311.4,1738,25.8,128,3302.4,8.799999999999955
1,297.1,308.2,1347,50.8,49,2489.2,11.099999999999966
1,303.8,312.7,1664,29.3,178,5215.400000000001,8.899999999999977
1,298.6,309.8,1637,34.6,207,7162.200000000001,11.199999999999989
1,301.6,311.1,1907,21.5,102,2193.0,9.5
2,302.3,311.2,1505,36.7,78,2862.6000000000004,8.899999999999977
2,298.2,309.0,1410,47.6,76,3617.6,10.800000000000011
1,296.8,307.9,1709,28.4,118,3351.2,11.099999999999966
2,297.2,308.3,1776,28.0,43,1204.0,11.100000000000023
1,300.2,310.2,1600,31.5,23,724.5,10.0
1,301.0,310.7,1391,45.0,123,5535.0,9.699999999999989
0,298.7,309.3,1402,45.3,190,8607.0,10.600000000000023
2,298.1,307.9,1496,40.0,0,0.0,9.799999999999955
1,301.5,310.3,1415,41.6,28,1164.8,8.800000000000011
1,301.1,311.1,1711,29.1,170,4947.0,10.0
2,296.8,307.8,1664,32.8,142,4657.599999999999,11.0
1,298.2,308.4,1477,49.9,72,3592.7999999999997,10.199999999999989
2,297.4,309.0,1520,37.0,147,5439.0,11.600000000000023
2,298.9,308.9,1487,39.5,30,1185.0,10.0
1,299.3,309.1,1551,39.1,147,5747.7,9.800000000000011
1,298.3,308.2,1663,28.4,67,1902.8,9.899999999999977
2,301.0,311.0,1423,38.6,199,7681.400000000001,10.0
1,301.5,311.1,1434,49.6,129,6398.400000000001,9.600000000000023
2,300.5,311.6,1476,39.1,199,7780.900000000001,11.100000000000023
1,300.6,310.0,1425,49.5,174,8613.0,9.399999999999977
2,301.3,310.8,1455,41.2,56,2307.2000000000003,9.5
2,297.2,308.4,1863,26.0,110,2860.0,11.199999999999989
1,298.8,308.8,1523,44.4,55,2442.0,10.0
1,300.4,310.0,1769,26.1,38,991.8000000000001,9.600000000000023
